,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,id,run_name,input_path,output_path,excution_time
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,test1,C:\Users\Yair\Documents\Green Ensis\Data,C:\Users\Yair\Documents\Green Ensis\Data,21/12/2020 10:58:56
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,2,test1,C:\Users\Yair\Documents\Green Ensis\Data,C:\Users\Yair\Documents\Green Ensis\Data,21/12/2020 10:59:33
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,3,test1,C:\Users\Yair\Documents\Green Ensis\Data,C:\Users\Yair\Documents\Green Ensis\Data,21/12/2020 11:23:07
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,4,test1,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\Analysis,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\Analysis,21/12/2020 15:51:11
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,5,test1,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\Analysis,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\Analysis,21/12/2020 15:52:34
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,6,test1,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\Analysis,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\Analysis,21/12/2020 15:54:01
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,7,test1,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\Analysis,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\Analysis,21/12/2020 15:56:27
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,8,test1,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\Analysis,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\Analysis,21/12/2020 16:13:14
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,9,test1,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\Analysis,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\Analysis,21/12/2020 16:31:34
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,,,,,,,,,,10,test1,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\Analysis,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\Analysis,21/12/2020 16:32:42
