id,run_name,input_path,output_path,excution_time
1.0,test1,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,23/01/2021 15:07:19
2.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,23/01/2021 15:07:49
3.0,test1,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,23/01/2021 15:09:15
4.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,23/01/2021 15:10:06
5.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,23/01/2021 15:14:56
6.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,23/01/2021 15:16:32
7.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,23/01/2021 15:20:06
8.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,23/01/2021 15:20:37
9.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,23/01/2021 15:38:46
10.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,23/01/2021 15:44:29
11.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,23/01/2021 16:46:20
12.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,23/01/2021 16:47:10
13.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,23/01/2021 16:48:59
14.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,23/01/2021 16:51:45
15.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,23/01/2021 17:02:30
16.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,23/01/2021 17:06:04
17.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,23/01/2021 17:06:46
18.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,23/01/2021 17:07:48
19.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,23/01/2021 17:08:18
20.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,23/01/2021 17:12:16
21.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,04/02/2021 15:50:34
22.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,04/02/2021 15:51:36
23.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,04/02/2021 16:12:52
24.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,04/02/2021 16:14:10
25.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,04/02/2021 16:16:23
26.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,04/02/2021 16:17:13
27.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,04/02/2021 16:18:34
28.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,04/02/2021 16:31:21
